stack: [1, 2, 3, 4, 5, 6, 7] stack solved: [1, 2, 3, 4, 5, 6, 7] solution: [None]
stack: [1, 2, 3, 4, 5, 7, 6] stack solved: [2, 3, 4, 5, 7] solution: [0, 0]
stack: [1, 2, 3, 4, 6, 5, 7] stack solved: [1, 2, 3, 4, 6] solution: [1, 0]
stack: [1, 2, 3, 4, 6, 7, 5] stack solved: [2, 3, 4, 6, 7] solution: [0, 0]
stack: [1, 2, 3, 4, 7, 5, 6] stack solved: [1, 2, 3, 4, 7] solution: [1, 0]
stack: [1, 2, 3, 4, 7, 6, 5] stack solved: [1, 2, 3, 4, 7] solution: [1, 0]
stack: [1, 2, 3, 5, 4, 6, 7] stack solved: [1, 2, 3, 5, 7] solution: [2, 1]
stack: [1, 2, 3, 5, 4, 7, 6] stack solved: [1, 2, 3, 5, 6] solution: [2, 1]
stack: [1, 2, 3, 5, 6, 4, 7] stack solved: [1, 2, 3, 5, 6] solution: [1, 0]
stack: [1, 2, 3, 5, 6, 7, 4] stack solved: [2, 3, 5, 6, 7] solution: [0, 0]
stack: [1, 2, 3, 5, 7, 4, 6] stack solved: [1, 2, 3, 5, 7] solution: [1, 0]
stack: [1, 2, 3, 5, 7, 6, 4] stack solved: [1, 2, 3, 5, 7] solution: [1, 0]
stack: [1, 2, 3, 6, 4, 5, 7] stack solved: [1, 2, 3, 6, 7] solution: [2, 1]
stack: [1, 2, 3, 6, 4, 7, 5] stack solved: [2, 3, 6, 7]    solution: [0, 4, 0]
stack: [1, 2, 3, 6, 5, 4, 7] stack solved: [1, 2, 3, 6, 7] solution: [2, 1]
stack: [1, 2, 3, 6, 5, 7, 4] stack solved: [2, 3, 6, 7]    solution: [0, 4, 0]
stack: [1, 2, 3, 6, 7, 4, 5] stack solved: [1, 2, 3, 6, 7] solution: [1, 0]
stack: [1, 2, 3, 6, 7, 5, 4] stack solved: [1, 2, 3, 6, 7] solution: [1, 0]
stack: [1, 2, 3, 7, 4, 5, 6] stack solved: [1, 2, 3, 5, 6] solution: [3, 2]
stack: [1, 2, 3, 7, 4, 6, 5] stack solved: [1, 2, 4, 7]    solution: [1, 3, 0]
stack: [1, 2, 3, 7, 5, 4, 6] stack solved: [1, 2, 3, 4, 6] solution: [3, 2]
stack: [1, 2, 3, 7, 5, 6, 4] stack solved: [1, 2, 5, 7]    solution: [1, 3, 0]
stack: [1, 2, 3, 7, 6, 4, 5] stack solved: [1, 2, 3, 4, 5] solution: [3, 2]
stack: [1, 2, 3, 7, 6, 5, 4] stack solved: [2, 5, 6, 7]    solution: [0, 2, 0]
stack: [1, 2, 4, 3, 5, 6, 7] stack solved: [1, 2, 4, 6, 7] solution: [3, 2]
stack: [1, 2, 4, 3, 5, 7, 6] stack solved: [2, 3, 5, 7]    solution: [0, 0, 3]
stack: [1, 2, 4, 3, 6, 5, 7] stack solved: [1, 2, 4, 5, 7] solution: [3, 2]
stack: [1, 2, 4, 3, 6, 7, 5] stack solved: [2, 3, 6, 7]    solution: [0, 0, 3]
stack: [1, 2, 4, 3, 7, 5, 6] stack solved: [1, 2, 4, 5, 6] solution: [3, 2]
stack: [1, 2, 4, 3, 7, 6, 5] stack solved: [2, 4, 6, 7]    solution: [0, 3, 0]
stack: [1, 2, 4, 5, 3, 6, 7] stack solved: [1, 2, 4, 5, 7] solution: [2, 1]
stack: [1, 2, 4, 5, 3, 7, 6] stack solved: [1, 2, 4, 5, 6] solution: [2, 1]
