stack: [1, 2, 3, 4, 5, 6, 7, 8] stack solved: [1, 2, 3, 4, 5, 6, 7, 8] solution: [None]
stack: [1, 2, 3, 4, 5, 6, 8, 7] stack solved: [2, 3, 4, 5, 6, 8] solution: [0, 0]
stack: [1, 2, 3, 4, 5, 7, 6, 8] stack solved: [1, 2, 3, 4, 5, 7] solution: [1, 0]
stack: [1, 2, 3, 4, 5, 7, 8, 6] stack solved: [2, 3, 4, 5, 7, 8] solution: [0, 0]
stack: [1, 2, 3, 4, 5, 8, 6, 7] stack solved: [1, 2, 3, 4, 5, 8] solution: [1, 0]
stack: [1, 2, 3, 4, 5, 8, 7, 6] stack solved: [1, 2, 3, 4, 5, 8] solution: [1, 0]
stack: [1, 2, 3, 4, 6, 5, 7, 8] stack solved: [1, 2, 3, 4, 6, 8] solution: [2, 1]
stack: [1, 2, 3, 4, 6, 5, 8, 7] stack solved: [1, 2, 3, 4, 6, 7] solution: [2, 1]
stack: [1, 2, 3, 4, 6, 7, 5, 8] stack solved: [1, 2, 3, 4, 6, 7] solution: [1, 0]
stack: [1, 2, 3, 4, 6, 7, 8, 5] stack solved: [2, 3, 4, 6, 7, 8] solution: [0, 0]
stack: [1, 2, 3, 4, 6, 8, 5, 7] stack solved: [1, 2, 3, 4, 6, 8] solution: [1, 0]
stack: [1, 2, 3, 4, 6, 8, 7, 5] stack solved: [1, 2, 3, 4, 6, 8] solution: [1, 0]
stack: [1, 2, 3, 4, 7, 5, 6, 8] stack solved: [1, 2, 3, 4, 7, 8] solution: [2, 1]
stack: [1, 2, 3, 4, 7, 5, 8, 6] stack solved: [2, 3, 4, 7, 8] solution: [0, 5, 0]
stack: [1, 2, 3, 4, 7, 6, 5, 8] stack solved: [1, 2, 3, 4, 7, 8] solution: [2, 1]
stack: [1, 2, 3, 4, 7, 6, 8, 5] stack solved: [2, 3, 4, 7, 8] solution: [0, 5, 0]
stack: [1, 2, 3, 4, 7, 8, 5, 6] stack solved: [1, 2, 3, 4, 7, 8] solution: [1, 0]
